,date,county,state,fips,cases,mean_temp,min_temp,max_temp,dewpoint,precipitation,fog,rain,snow,hail,thunder,tornado,region
0,2020-01-21,Snohomish,Washington,53061,1,44.1,37.0,50.0,40.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
1,2020-01-22,Snohomish,Washington,53061,1,44.8,37.9,48.0,40.3,0.29,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
2,2020-01-23,Snohomish,Washington,53061,1,49.9,42.8,54.0,47.3,0.54,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
3,2020-01-24,Snohomish,Washington,53061,1,51.5,48.0,54.0,46.6,0.32,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
4,2020-01-25,Snohomish,Washington,53061,1,47.1,43.0,53.1,44.1,0.04,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
5,2020-01-26,Snohomish,Washington,53061,1,47.4,41.0,53.1,43.2,0.14,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
6,2020-01-27,Snohomish,Washington,53061,1,47.3,42.1,53.1,40.2,0.13,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
7,2020-01-28,Snohomish,Washington,53061,1,45.5,42.8,48.2,42.4,0.21,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
8,2020-01-29,Snohomish,Washington,53061,1,46.8,43.0,48.9,44.0,0.74,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
9,2020-01-30,Snohomish,Washington,53061,1,39.0,30.2,48.2,37.1,0.12,1.0,1.0,0.0,0.0,0.0,0.0,Northwest
10,2020-01-31,Snohomish,Washington,53061,1,51.9,30.9,57.9,48.3,0.24,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
11,2020-02-01,Snohomish,Washington,53061,1,50.7,43.0,57.9,45.6,0.17,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
12,2020-02-02,Snohomish,Washington,53061,1,35.2,26.6,43.0,30.6,0.14,1.0,1.0,0.0,0.0,0.0,0.0,Northwest
13,2020-02-03,Snohomish,Washington,53061,1,34.5,27.0,44.1,30.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Northwest
14,2020-02-04,Snohomish,Washington,53061,1,31.7,27.0,42.1,29.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Northwest
15,2020-02-05,Snohomish,Washington,53061,1,38.1,27.0,41.0,36.7,0.75,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
16,2020-02-06,Snohomish,Washington,53061,1,40.6,37.0,43.0,39.9,1.77,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
17,2020-02-07,Snohomish,Washington,53061,1,42.6,39.2,52.0,41.1,0.53,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
18,2020-02-08,Snohomish,Washington,53061,1,44.7,39.9,52.0,39.7,0.53,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
19,2020-02-09,Snohomish,Washington,53061,1,36.7,30.2,45.0,34.5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Northwest
20,2020-02-10,Snohomish,Washington,53061,1,37.6,30.9,48.9,33.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Northwest
21,2020-02-11,Snohomish,Washington,53061,1,36.8,30.9,48.9,34.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
22,2020-02-12,Snohomish,Washington,53061,1,42.3,30.9,48.0,40.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
23,2020-02-13,Snohomish,Washington,53061,1,39.6,33.1,48.0,38.3,0.01,1.0,1.0,0.0,0.0,0.0,0.0,Northwest
24,2020-02-14,Snohomish,Washington,53061,1,41.2,34.0,46.9,38.1,0.45,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
25,2020-02-15,Snohomish,Washington,53061,1,42.7,37.9,46.9,38.9,0.08,0.0,1.0,0.0,0.0,0.0,0.0,Northwest
